shreya@DESKTOP-4P0P6TP:/mnt/c/Users/HP/Desktop/ms/677/lab2/spring24-lab2-spring24-lab2-shreya-simran/src$ FRONTEND_HOST=128.119.243.177 sh -c 'python3 client.py'
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 7878}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 4363}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 2891}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 4976}}
***Response Time: 0.7889196872711182 seconds***
