shreya@DESKTOP-4P0P6TP:/mnt/c/Users/HP/Desktop/ms/677/lab2/spring24-lab2-spring24-lab2-shreya-simran/src$ FRONTEND_HOST=128.119.243.164 sh -c 'python3 client.py & python3 client.py & python3 client.py & python3 client.py'
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 800}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 800}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 800}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 800}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 800}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 800}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Python: {'data': {'name': 'Python', 'price': 20.99, 'quantity': 800}}
Query result for Tux: {'data': {'name': 'Tux', 'price': 15.99, 'quantity': 1000}}
Query result for Whale: {'data': {'name': 'Whale', 'price': 25.99, 'quantity': 500}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
Query result for Fox: {'data': {'name': 'Fox', 'price': 12.99, 'quantity': 600}}
